Sector,Term
Communication Services,Broadcasting
Communication Services,Communications
Communication Services,Entertainment
Communication Services,Media
Communication Services,Messaging
Communication Services,Network
Communication Services,Telecom
Communication Services,Telecommunications
Communication Services,Video
Communication Services,Wireless
Consumer Discretionary,Brands
Consumer Discretionary,Design
Consumer Discretionary,Entertainment
Consumer Discretionary,Fashion
Consumer Discretionary,Hospitality
Consumer Discretionary,Leisure
Consumer Discretionary,Lifestyle
Consumer Discretionary,Luxury
Consumer Discretionary,Media
Consumer Discretionary,Retail
Consumer Staples,Beverages
Consumer Staples,Foods
Consumer Staples,Health
Consumer Staples,Household
Consumer Staples,Hygiene
Consumer Staples,Nutrition
Consumer Staples,Personal
Consumer Staples,Pharmaceuticals
Consumer Staples,Wellness
Energy,Contractors
Energy,Drilling
Energy,Energy
Energy,Equipment
Energy,Exploration
Energy,Extraction
Energy,Field
Energy,Fuel
Energy,Gas
Energy,Industrial
Energy,Maintenance
Energy,Offshore
Energy,Oil
Energy,Petrochemical
Energy,Petroleum
Energy,Pipeline
Energy,Power
Energy,Refining
Energy,Resources
Energy,Rig
Energy,Tools
Energy,Well
Financials,Advisory
Financials,Asset
Financials,Banking
Financials,Capital
Financials,Financial
Financials,Funds
Financials,Group
Financials,Holdings
Financials,Insurance
Financials,Investment
Financials,Partners
Financials,Securities
Financials,Trust
Financials,Wealth
Health Care,Biotech
Health Care,Diagnostics
Health Care,Genetics
Health Care,Health
Health Care,Healthcare
Health Care,Life
Health Care,Medical
Health Care,Sciences
Health Care,Therapeutics
Health Care,Wellness
Industrials,Advanced
Industrials,Aerospace
Industrials,Automation
Industrials,Aviation
Industrials,Building
Industrials,Construction
Industrials,Defense
Industrials,Precision
Industrials,Materials
Industrials,Space
Information Technology,Analytics
Information Technology,Cloud
Information Technology,Cyber
Information Technology,Data
Information Technology,Digital
Information Technology,IT
Information Technology,Network
Information Technology,Security
Information Technology,Software
Information Technology,Tech
Materials,Aluminum
Materials,Analytical
Materials,Base
Materials,Board
Materials,Building
Materials,Cellulose
Materials,Chemicals
Materials,Coated
Materials,Coatings
Materials,Concrete
Materials,Construction
Materials,Containers
Materials,Copper
Materials,Exploration
Materials,Extraction
Materials,Fibers
Materials,Flexible
Materials,Forest
Materials,Formulations
Materials,Gold
Materials,Industries
Materials,Iron
Materials,Labels
Materials,Logistics
Materials,Masonry
Materials,Materials
Materials,Metals
Materials,Mills
Materials,Minerals
Materials,Mining
Materials,Newsprint
Materials,Packaging
Materials,Paper
Materials,Paperboard
Materials,Performance
Materials,Pharmaceuticals
Materials,Plastics
Materials,Polymers
Materials,Printing
Materials,Processing
Materials,Pulp
Materials,Recycling
Materials,Research
Materials,Resources
Materials,Roofing
Materials,Science
Materials,Silver
Materials,Steel
Materials,Synthesis
Materials,Tissue
Materials,Wood
Real Estate,Commercial
Real Estate,Group
Real Estate,Holdings
Real Estate,Investments
Real Estate,Properties
Real Estate,Real Estate
Real Estate,Realty
Real Estate,Residential
Real Estate,Ventures
Utilities,Electric
Utilities,Energy
Utilities,Environmental
Utilities,Gas
Utilities,Gas and Electric
Utilities,Generation
Utilities,Power
Utilities,Systems
Utilities,Utilities
Utilities,Water
Descriptors,Solutions
Descriptors,Technologies
Descriptors,Services
Descriptors,Industries
Descriptors,Systems
Descriptors,Global
Descriptors,International
Descriptors,Supply
Descriptors,Engineering
Descriptors,Manufacturing
Descriptors,Innovations
Descriptors,Development
Descriptors,Consulting
Descriptors,Management
Descriptors,Production
Descriptors,Distribution
Descriptors,Products
Descriptors,Operations
Descriptors,Logistics
